FID,Lat,Lon,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
83,23.845911,55.445489,0.1536,0.2356,0.3428,0.3545,0.3784,0.4057,0.4228,0.4237,0.5159,0.4704
84,23.845911,55.445489,0.1536,0.2356,0.3428,0.3545,0.3784,0.4057,0.4228,0.4237,0.5159,0.4704
85,23.826503,55.457592,0.1193,0.1771,0.2254,0.3113,0.3599,0.3956,0.4032,0.4131,0.4492,0.3959
86,23.805059,55.447655,0.1112,0.1634,0.2125,0.2697,0.3396,0.3876,0.3909,0.4087,0.4063,0.3531
87,23.813960,55.487201,0.1483,0.2275,0.3573,0.3985,0.4039,0.4247,0.4303,0.4377,0.5731,0.5453
88,23.839670,55.505034,0.1231,0.1829,0.2564,0.3035,0.3412,0.3710,0.3808,0.3928,0.4546,0.4095
91,23.626815,55.557993,0.1433,0.2164,0.3019,0.3140,0.3510,0.3790,0.3944,0.3993,0.4532,0.4068
92,23.621057,55.526678,0.1897,0.2612,0.3497,0.4016,0.4102,0.4289,0.4348,0.4379,0.5099,0.4777
94,23.645892,55.512244,0.1574,0.2282,0.3224,0.3603,0.3746,0.3915,0.3995,0.4022,0.5031,0.4660
95,23.639166,55.495744,0.1872,0.2606,0.3474,0.3831,0.4005,0.4197,0.4182,0.4290,0.5061,0.4668
97,24.218363,55.449286,0.1514,0.2144,0.2878,0.3136,0.3632,0.3967,0.4124,0.4176,0.4555,0.3918
98,24.207388,55.349340,0.1901,0.2650,0.3727,0.4163,0.4244,0.4464,0.4432,0.4688,0.6168,0.5655
99,23.601382,55.518325,0.1535,0.2312,0.3448,0.3827,0.3924,0.4093,0.4188,0.4233,0.5496,0.5218
100,23.592627,55.525148,0.1112,0.1668,0.2131,0.3006,0.3431,0.3738,0.3700,0.3917,0.4263,0.3827
101,23.576473,55.522485,0.1192,0.1669,0.2221,0.2634,0.3121,0.3447,0.3565,0.3762,0.4309,0.3561
102,23.563877,55.507293,0.1028,0.1474,0.1828,0.2578,0.3375,0.3835,0.3802,0.4039,0.3641,0.3032
104,23.563595,55.526267,0.1048,0.1539,0.1853,0.2150,0.3137,0.3623,0.3879,0.3858,0.3366,0.2673
105,23.563595,55.526267,0.1048,0.1539,0.1853,0.2150,0.3137,0.3623,0.3879,0.3858,0.3366,0.2673
106,23.590358,55.539283,0.1298,0.1798,0.2270,0.2537,0.3275,0.3698,0.3880,0.3896,0.3480,0.2933
107,23.623095,55.431307,0.1268,0.2101,0.3590,0.3997,0.4106,0.4320,0.4402,0.4459,0.5808,0.5542
108,23.622527,55.413863,0.1197,0.1829,0.2559,0.2608,0.3176,0.3614,0.3881,0.3891,0.3984,0.3331
109,23.620468,55.411017,0.1295,0.1932,0.2630,0.3052,0.3486,0.3857,0.3924,0.4042,0.4454,0.4041
110,23.617038,55.413717,0.1297,0.1933,0.2735,0.3200,0.3667,0.3994,0.3981,0.4184,0.4817,0.4411
111,23.612125,55.415888,0.1450,0.2301,0.3728,0.4245,0.4302,0.4500,0.4474,0.4624,0.6046,0.5821
112,23.604530,55.431863,0.1290,0.1884,0.2691,0.3215,0.3619,0.3954,0.3966,0.4135,0.4718,0.4217
113,23.590796,55.540233,0.1720,0.2319,0.3032,0.3160,0.3517,0.3794,0.4019,0.3981,0.4259,0.3814
114,23.684927,55.568563,0.1387,0.1952,0.2638,0.3091,0.3402,0.3646,0.3614,0.3844,0.4549,0.3997
115,23.497511,55.455053,0.0794,0.1216,0.1297,0.1953,0.2867,0.3147,0.3256,0.3436,0.3093,0.2060
124,23.463830,55.448022,0.1300,0.1977,0.2728,0.3395,0.3878,0.4213,0.4252,0.4466,0.4899,0.4333
135,24.167381,55.072783,0.1144,0.1566,0.1875,0.2464,0.3098,0.3469,0.3524,0.3689,0.3584,0.2926
136,24.168330,55.069275,0.1229,0.1788,0.2426,0.2774,0.3326,0.3655,0.3834,0.3849,0.4156,0.3522
137,24.596400,55.443632,0.1424,0.1889,0.2319,0.2924,0.3406,0.3821,0.3733,0.3961,0.4401,0.3805
138,24.583527,55.411677,0.1104,0.1592,0.1834,0.2640,0.3468,0.3907,0.3896,0.4115,0.3787,0.3056
139,24.566564,55.384582,0.2342,0.3184,0.4124,0.4489,0.4482,0.4648,0.4676,0.4688,0.5845,0.5152
140,24.566422,55.349288,0.1822,0.2464,0.3198,0.3529,0.3832,0.4072,0.4192,0.4290,0.5041,0.4396
145,24.561509,55.327485,0.2282,0.3060,0.3868,0.4216,0.4340,0.4556,0.4724,0.4644,0.5486,0.4921
146,24.560790,55.323153,0.2326,0.3130,0.3926,0.4192,0.4239,0.4375,0.4532,0.4452,0.5520,0.5078
147,24.561022,55.312796,0.2699,0.3151,0.3472,0.3937,0.4083,0.4214,0.4027,0.4262,0.4361,0.3358
148,24.561022,55.312796,0.2699,0.3151,0.3472,0.3937,0.4083,0.4214,0.4027,0.4262,0.4361,0.3358
149,24.530236,55.521200,0.1624,0.2498,0.3682,0.4213,0.4293,0.4474,0.4440,0.4599,0.5987,0.5497
150,24.533432,55.530624,0.1716,0.2674,0.3984,0.4352,0.4420,0.4580,0.4744,0.4703,0.6124,0.5759
151,24.546154,55.588451,0.1600,0.2476,0.3724,0.4129,0.4214,0.4415,0.4484,0.4515,0.5845,0.5447
152,24.553553,55.585477,0.1360,0.2050,0.2830,0.3172,0.3759,0.4058,0.4168,0.4313,0.5071,0.4337
